ICD_Code_Pair,Count
"('I10', 'E785')",526491
"('I10', 'Z79899')",422066
"('Z992', 'D631')",292657
"('I10', 'Z87891')",270514
"('E785', 'Z79899')",260093
"('I10', 'K219')",246343
"('Z992', 'N2581')",211627
"('E785', 'I10')",198031
"('N2581', 'Z992')",192371
"('Z992', 'D509')",179919
"('I10', 'E119')",175445
"('I10', 'Z7982')",174925
"('E785', 'Z87891')",171761
"('K219', 'Z79899')",169635
"('E119', 'I10')",158697
"('I10', 'E039')",149878
"('E785', 'K219')",149728
"('N2581', 'D631')",147492
"('M9902', 'M9903')",137047
"('I10', 'E7800')",132904
"('I2510', 'E785')",132535
"('E785', 'Z7982')",131454
"('E119', 'Z7984')",130541
"('I10', 'G4733')",127929
"('E119', 'E785')",127917
"('Z87891', 'Z79899')",126610
"('I10', 'E669')",124447
"('Z7982', 'Z79899')",120105
"('D509', 'D631')",120055
"('E119', 'Z79899')",118673
"('I10', 'F419')",117141
"('I2510', 'I10')",115928
"('E039', 'Z79899')",112496
"('N2581', 'D509')",110773
"('F419', 'Z79899')",109987
"('I10', 'Z7901')",109580
"('D631', 'N2581')",108900
"('I10', 'I2510')",107946
"('I10', 'Z7984')",106431
"('F419', 'F32A')",104836
"('K219', 'Z87891')",103335
"('E785', 'E039')",96919
"('Z7901', 'Z79899')",96510
"('K219', 'E785')",95533
"('Z79899', 'Z87891')",89391
"('I10', 'F32A')",88417
"('M9901', 'M9902')",88347
"('I10', 'Z20822')",88107
"('I2510', 'Z79899')",87775
"('I4891', 'Z7901')",86469
"('E785', 'G4733')",85785
"('I10', 'E782')",85482
"('E039', 'E785')",82731
"('E785', 'E669')",82299
"('I2510', 'Z7982')",82175
"('M9903', 'M9904')",81489
"('G4733', 'Z79899')",80013
"('E785', 'Z7901')",79556
"('Z20822', 'Z79899')",77943
"('K219', 'I10')",77674
"('E785', 'F419')",76303
"('E7800', 'Z79899')",76264
"('I10', 'F17210')",75758
"('E785', 'E119')",75368
"('D509', 'N2581')",74512
"('E785', 'Z7984')",72598
"('E785', 'I2510')",71307
"('E119', 'Z794')",70411
"('E119', 'Z87891')",69576
"('I10', 'J45909')",69394
"('F32A', 'Z79899')",68095
"('I2510', 'Z87891')",67178
"('J45909', 'Z79899')",66354
"('I10', 'E6601')",65665
"('I10', 'Z888')",65135
"('Z7984', 'Z79899')",64475
"('Z20822', 'I10')",64453
"('F17210', 'Z79899')",64195
"('I10', 'Z794')",63976
"('E039', 'I10')",63951
"('D631', 'D509')",63356
"('Z79899', 'Z7982')",63223
"('F32A', 'F419')",63189
"('E039', 'Z79890')",62766
"('D689', 'N2581')",62628
"('M9903', 'M9902')",61693
"('I2510', 'K219')",61614
"('M9903', 'M9905')",60320
"('M542', 'M9902')",59818
"('K219', 'F419')",59758
"('M9902', 'M9901')",59638
"('E785', 'F32A')",59064
"('E669', 'Z79899')",58547
"('Z992', 'N250')",58301
"('K219', 'Z7982')",57212
"('D689', 'Z992')",56270
"('Z992', 'D689')",56065
"('F419', 'Z87891')",55654
"('F419', 'K219')",55468
"('K219', 'E669')",55458
"('I10', 'J449')",55406
"('M9902', 'M546')",55242
"('E119', 'Z7982')",54639
"('I480', 'Z7901')",54607
"('M9902', 'M9904')",54504
"('Z20822', 'Z87891')",54147
"('E785', 'Z20822')",53439
"('E039', 'Z87891')",53281
"('I10', 'E559')",52839
"('E119', 'K219')",52308
"('M9901', 'M9903')",52181
"('E6601', 'Z6841')",51898
"('Z992', 'Z23')",51706
"('E039', 'K219')",51544
"('I129', 'N1830')",51422
"('I2510', 'I252')",51404
"('I4891', 'I10')",51251
"('G4733', 'K219')",50634
"('E785', 'F17210')",49268
"('E7800', 'I10')",49037
"('D631', 'N250')",49031
"('K5730', 'K648')",49011
"('Z20822', 'E785')",49002
"('I10', 'Z8673')",48885
"('D509', 'N250')",48880
"('D509', 'Z992')",48780
"('M9904', 'M9905')",48449
"('E7800', 'Z87891')",48375
"('G4733', 'I10')",48161
"('I10', 'I4891')",48027
"('F419', 'I10')",47841
"('I2510', 'Z7901')",47744
"('K219', 'G4733')",47202
"('N179', 'E785')",47089
"('J449', 'Z87891')",47003
"('G4733', 'Z87891')",46777
"('N179', 'I10')",46586
"('I2510', 'Z955')",46247
"('L814', 'L821')",46188
"('G4733', 'E785')",46165
"('K219', 'E039')",45637
"('E871', 'I10')",44916
"('M9903', 'M9901')",44652
"('E119', 'G4733')",44546
"('E785', 'Z794')",44521
"('I10', 'Z880')",44483
"('I4891', 'E785')",44458
"('I10', 'Z23')",44406
"('I4891', 'Z79899')",44329
"('E785', 'E559')",44127
"('J449', 'I10')",44126
"('I129', 'E785')",44019
"('Z7901', 'Z87891')",43958
"('J45909', 'K219')",43599
"('M9902', 'M9905')",43591
"('M542', 'M546')",43359
"('I2510', 'Z951')",43249
"('E876', 'I10')",42911
"('Z7982', 'Z87891')",42816
"('E1122', 'E785')",42408
"('J449', 'E785')",42360
"('I10', 'R7303')",42354
"('Z79899', 'Z888')",42063
"('E119', 'E669')",41614
"('K219', 'F32A')",41050
"('E119', 'E039')",41018
"('I129', 'N189')",40997
"('E1122', 'N1830')",40917
"('J449', 'Z79899')",40848
"('F419', 'E785')",40827
"('Z87891', 'Z7982')",40810
"('F32A', 'K219')",40426
"('I110', 'E785')",40345
"('E782', 'I10')",40246
"('I2510', 'E119')",40040
"('Z79899', 'Z20822')",39798
"('E6601', 'I10')",39640
